,SNR_Filename,SNR_SNR(original),SNR_SNR(LOHIRESGAN),SNR_SNR(LOWGAN),SNR_SNR(RESNET),SNR_SNR(SWINIR),NRMSE_Original,NRMSE_LOHIRESGAN,NRMSE_LOWGAN,NRMSE_RESNET,NRMSE_SWINIR,SSIM_Original,SSIM_LOHIRESGAN,SSIM_LOWGAN,SSIM_RESNET,SSIM_SWINIR,PSNR_Original,PSNR_LOHIRESGAN,PSNR_LOWGAN,PSNR_RESNET,PSNR_SWINIR,PIQE_Original,PIQE_LOHIRESGAN,PIQE_LOWGAN,PIQE_RESNET,PIQE_SWINIR
a01,a01.nii.gz,1.7,2.85,3.25,3.1,3.76,0.0,0.4951971076542756,0.6415932215957859,0.6316918174356801,0.406641265418628,1.0,0.3869004671425661,0.3688966263393652,0.431185788769338,0.6663222873997586,inf,16.399221019345248,10.402879545702556,10.820575668716756,18.518914951752205,2.80500233894904,2.787948536899552,3.477636156159835,3.2643784787203503,2.9728386100251583
a10,a10.nii.gz,2.34,2.59,3.22,3.04,-6.44,0.0,0.6466501428608741,0.7957915768759719,0.7898424633057975,0.6807818465096989,1.0,0.3052357179264665,0.2330516907536176,0.2912159593724509,0.423410663722571,inf,13.983305289888476,6.825909116200029,7.165188863123579,11.929827641338724,2.6199421021949623,2.7093260966516564,3.3900130777485056,3.24161737660609,3.175562963660669
a15,a15.nii.gz,1.85,2.7,3.16,3.0,1.04,0.0,0.5162746526520694,0.669662282740805,0.656113921979591,0.4790347504640845,1.0,0.3706227099977947,0.3663521018971604,0.4384453353435286,0.6299890859420656,inf,15.251134850834609,8.87643510019275,9.435658397899148,15.554126323086008,2.866412211249375,2.7894668480187894,3.435600213541206,3.272845991570702,3.1338857025926106
a24,a24.nii.gz,2.44,2.76,2.87,2.76,0.91,0.0,0.4308665269247163,0.6583085519029069,0.6399685784441541,0.4778583370244066,1.0,0.4272400579408088,0.3969019065822711,0.455838736723902,0.6519768038928309,inf,16.714710462140275,7.586354890189496,8.305274680904564,13.941379681731956,2.798495723252416,2.911789541344646,3.214411927425115,3.1460727907343458,3.195625917033076
a27,a27.nii.gz,2.47,2.4,2.88,2.76,-1.83,0.0,0.4745940664829294,0.7150737987600685,0.6995381687213457,0.5567805111547628,1.0,0.4282526006664988,0.359888997152197,0.4199738173390452,0.5826482856612881,inf,16.958225243033926,7.203213606908205,7.878294435761522,13.089193767973306,2.621794716541332,2.9331633737442777,3.240480069451834,3.1381266668197934,3.194567870375316
